ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMTPO22N000000366,장소,문화시설,17671064,CGV,상봉점,,100208,CGV,1126010200105010000,서울특별시,중랑구,상봉동,,501,1126010200,1126059000,112603106004,상봉로,131,127.0922552,37.59741852,다사640554,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000367,장소,문화시설,17704024,찜DVD감상실,,,92005,비디오/DVD감상실,3020012200104090007,대전광역시,유성구,궁동,,409-7,3020012200,3020054000,302004301133,대학로151번길,38,127.350307,36.36238377,다바865183,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000368,장소,문화시설,17706123,롯데시네마,원주무실점,,100209,롯데시네마,4213011500118570010,강원도,원주시,무실동,,1857-10,4213011500,4213066000,421304517922,능라동길,51,127.9300917,37.3349052,라사380262,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000369,장소,문화시설,17723282,롯데시네마,안양일번가점,,100209,롯데시네마,4117110100106760001,경기도,안양시 만안구,안양동,,676-1,4117110100,4117154000,411713182016,안양로,311,126.9202145,37.39963457,다사486335,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000370,장소,문화시설,17727975,롯데시네마,산본피트인점,,100209,롯데시네마,4141010400111450006,경기도,군포시,산본동,,1145-6,4141010400,4141062000,414103200025,번영로,485,126.930654,37.35780064,다사495289,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000371,장소,문화시설,17731842,영양작은영화관,,,100202,일반극장/영화관,4776025022100020015,경상북도,영양군,영양읍,서부리,2-15,4776025022,4776025000,477604751035,군민회관길,7,129.1175725,36.66353196,마바445529,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000372,장소,문화시설,17739365,CGV,대전탄방점,,100208,CGV,3017010600107440000,대전광역시,서구,탄방동,,744,3017010600,3017055500,301703166027,문정로,85,127.3888265,36.34702553,다바900166,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000373,장소,문화시설,17739395,메가박스,의정부민락점,,100212,메가박스,4115010600108130003,경기도,의정부시,민락동,,813-3,4115010600,4115057800,411504343539,오목로205번길,55,127.0959794,37.74577903,다사644718,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000374,장소,문화시설,17739877,남해보물섬시네마,,,100202,일반극장/영화관,4884025024107600000,경상남도,남해군,남해읍,차산리,760,4884025024,4884025000,488403343022,선소로,12,127.899464,34.84535138,라라365501,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000375,장소,문화시설,17739978,아이들극장,,,100202,일반극장/영화관,1111016900100010021,서울특별시,종로구,혜화동,,1-21,1111016900,1111065000,111103100008,성균관로,91,126.9983614,37.59039208,다사557546,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000376,장소,문화시설,17744622,아이맥스DVD영화관,,,92005,비디오/DVD감상실,2641010800103020009,부산광역시,금정구,장전동,,302-9,2641010800,2641061000,264104205109,금정로60번길,24,129.0874664,35.22950003,마라444938,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000377,장소,문화시설,17746731,힐링데코믹스,,,92005,비디오/DVD감상실,4113510500102690002,경기도,성남시 분당구,서현동,,269-2,4113510500,4113558000,411354340162,분당로53번길,19,127.1221711,37.38453297,다사665317,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000378,장소,문화시설,17753511,메가박스,강남대로씨티점,,100212,메가박스,1168010100108160000,서울특별시,강남구,역삼동,,816,1168010100,1168064000,116802102001,강남대로,422,127.0269962,37.5003928,다사581446,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000379,장소,문화시설,17767710,레드캣츠,대전은행동점,,92005,비디오/DVD감상실,3014010500102040003,대전광역시,중구,대흥동,,204-3,3014010500,3014057500,301404295565,중앙로130번길,9,127.4245183,36.32771376,다바932144,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000380,장소,문화시설,17767808,토마토시네마,,,100202,일반극장/영화관,4279034021104340001,강원도,화천군,사내면,사창리,434-1,4279034021,4279034000,427903013046,수피령로,73,127.5209055,38.07338919,라아018081,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000381,장소,문화시설,17779855,메가박스영화방,,,92005,비디오/DVD감상실,2920010900115730001,광주광역시,광산구,우산동,,1573-1,2920010900,2920058000,292004289186,사암로215번길,103,126.8025946,35.16394672,다라364856,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000382,장소,문화시설,17781965,씨네파크디비디영화관,,,92005,비디오/DVD감상실,4215010600100430003,강원도,강릉시,금학동,,43-3,4215010600,4215052000,421503220007,금성로,38,128.8967006,37.75324754,마사230735,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000383,장소,문화시설,17787965,CGV,구리점,,100208,CGV,4131010300106760002,경기도,구리시,인창동,,676-2,4131010300,4131053000,413103000120,경춘로,243,127.1420962,37.60180047,다사684558,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000384,장소,문화시설,17799421,메가박스,남춘천점,,100212,메가박스,4211012100105870008,강원도,춘천시,온의동,,587-8,4211012100,4211067500,421104454665,춘천로17번길,17,127.7202216,37.86640243,라사193852,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000385,장소,문화시설,17832411,롯데시네마,진주혁신점,,100209,롯데시네마,4817013700100350000,경상남도,진주시,충무공동,,35,4817013700,4817075000,481703332077,동진로,440,128.1399343,35.18025242,라라582874,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000386,장소,문화시설,17837756,한내소극장,,,100202,일반극장/영화관,4165031028106810013,경기도,포천시,군내면,하성북리,681-13,4165031028,4165031000,416503213046,포천로,1517,127.2087428,37.89465882,다사743883,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000387,장소,문화시설,17844504,롯데시네마,향남점,,100209,롯데시네마,4159025926114700002,경기도,화성시,향남읍,하길리,1470-2,4159025926,4159025900,415904848211,상신하길로298번길,7-21,126.9124956,37.11517923,다사478019,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000388,장소,문화시설,17859898,메가박스,원주센트럴점,,100212,메가박스,4213011700119030003,강원도,원주시,반곡동,,1903-3,4213011700,4213067500,421303219088,황금로,2,127.9864839,37.32780172,라사430255,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
